Timestamp,Temperature,Pressure,Humidity,Weather,Wind Speed,City
2025-02-26 00:06:20,8.38,1015,73,few clouds,0.89,London
2025-02-26 01:11:09,6.64,1016,80,clear sky,0.89,London
2025-02-26 02:16:36,6.39,1017,80,clear sky,2.24,London
2025-02-26 03:27:34,5.94,1017,83,clear sky,2.24,London
2025-02-26 04:30:23,5.15,1018,87,clear sky,2.68,London
2025-02-26 05:34:37,5.1,1018,87,clear sky,3.6,London
2025-02-26 06:41:03,3.58,1017,90,overcast clouds,2.57,London
2025-02-26 07:52:50,4.18,1017,90,broken clouds,4.12,London
2025-02-26 09:07:09,3.81,1017,91,scattered clouds,3.09,London
2025-02-26 10:09:39,3.6,1016,90,scattered clouds,2.57,London
2025-02-27 12:59:52,5.15,1017,87,scattered clouds,3.6,London
2025-02-27 13:01:14,5.15,1017,87,scattered clouds,3.6,London
2025-02-27 13:02:14,5.15,1017,87,scattered clouds,3.6,London
2025-02-27 13:20:31,5.19,1018,87,broken clouds,4.63,London
2025-02-27 13:31:48,5.21,1018,87,broken clouds,4.63,London
2025-02-27 13:32:50,5.21,1018,87,broken clouds,4.63,London
2025-02-27 13:33:50,5.21,1018,87,broken clouds,4.63,London
2025-02-27 13:34:51,5.21,1018,87,broken clouds,4.63,London
2025-02-27 13:35:51,5.31,1018,87,broken clouds,4.63,London
2025-02-27 13:36:51,5.31,1018,87,broken clouds,4.63,London
2025-02-27 13:37:52,5.31,1018,87,broken clouds,4.63,London
2025-02-27 13:38:52,5.31,1018,87,broken clouds,4.63,London
2025-02-27 13:39:52,5.31,1018,87,broken clouds,4.63,London
2025-02-27 13:40:52,5.31,1018,87,broken clouds,4.63,London
2025-02-27 13:41:53,5.41,1018,87,overcast clouds,4.63,London
2025-02-27 13:42:53,5.41,1018,87,overcast clouds,4.63,London
2025-02-27 13:43:53,5.41,1018,87,overcast clouds,4.63,London
2025-02-27 13:44:54,5.41,1018,87,overcast clouds,4.63,London
2025-02-27 13:45:54,5.41,1018,87,overcast clouds,4.63,London
2025-02-27 13:46:54,5.41,1018,87,overcast clouds,4.63,London
2025-02-27 13:47:54,5.41,1018,87,overcast clouds,4.63,London
2025-02-27 13:48:55,5.41,1018,87,overcast clouds,4.63,London
2025-02-27 13:49:55,5.41,1018,87,overcast clouds,4.63,London
2025-02-27 13:50:55,5.41,1018,87,overcast clouds,4.63,London
2025-02-27 13:51:56,5.44,1018,87,overcast clouds,4.63,London
2025-02-27 13:52:56,5.44,1018,87,overcast clouds,4.63,London
2025-02-27 13:53:56,5.44,1018,87,overcast clouds,4.63,London
2025-02-27 13:54:56,5.44,1018,87,overcast clouds,4.63,London
2025-02-27 13:55:57,5.44,1018,87,overcast clouds,4.63,London
2025-02-27 13:56:57,5.44,1018,87,overcast clouds,4.63,London
2025-02-27 13:57:57,5.44,1018,87,overcast clouds,4.63,London
2025-02-27 13:58:57,5.44,1018,87,overcast clouds,4.63,London
2025-02-27 13:59:58,5.44,1018,87,overcast clouds,4.63,London
2025-02-27 14:00:58,5.44,1018,87,overcast clouds,4.63,London
